Date,Open,High,Low,Close,Adj Close,Volume
25-02-2022,16515.65039,16748.80078,16478.30078,16658.40039,16658.40039,329800
28-02-2022,16481.59961,16815.90039,16356.29981,16793.90039,16793.90039,404200
02-03-2022,16593.09961,16678.5,16478.65039,16605.94922,16605.94922,517700
03-03-2022,16723.19922,16768.94922,16442.94922,16498.05078,16498.05078,442100
04-03-2022,16339.4502,16456,16133.79981,16245.34961,16245.34961,456100
07-03-2022,15867.9502,15944.59961,15711.4502,15863.15039,15863.15039,585400
08-03-2022,15747.75,16028.75,15671.4502,16013.4502,16013.4502,543600
09-03-2022,16078,16418.05078,15990,16345.34961,16345.34961,462200
10-03-2022,16757.09961,16757.30078,16447.90039,16594.90039,16594.90039,486400
11-03-2022,16528.80078,16694.40039,16470.90039,16630.44922,16630.44922,343700
14-03-2022,16633.69922,16887.94922,16606.5,16871.30078,16871.30078,314700
15-03-2022,16900.65039,16927.75,16555,16663,16663,381600
16-03-2022,16876.65039,16987.90039,16837.84961,16975.34961,16975.34961,260000
17-03-2022,17202.90039,17344.59961,17175.75,17287.05078,17287.05078,448300
21-03-2022,17329.5,17353.34961,17096.40039,17117.59961,17117.59961,285500
22-03-2022,17120.40039,17334.40039,17006.30078,17315.5,17315.5,338300
23-03-2022,17405.05078,17442.40039,17199.59961,17245.65039,17245.65039,292100
24-03-2022,17094.94922,17291.75,17091.15039,17222.75,17222.75,290300
25-03-2022,17289,17294.90039,17076.55078,17153,17153,237100
28-03-2022,17181.84961,17235.09961,17003.90039,17222,17222,253200
29-03-2022,17297.19922,17343.65039,17235.69922,17325.30078,17325.30078,235100
30-03-2022,17468.15039,17522.5,17387.19922,17498.25,17498.25,505000
31-03-2022,17519.19922,17559.80078,17435.19922,17464.75,17464.75,281100
01-04-2022,17436.90039,17703.69922,17422.69922,17670.44922,17670.44922,291800
04-04-2022,17809.09961,18114.65039,17791.40039,18053.40039,18053.40039,345500
05-04-2022,18080.59961,18095.44922,17921.55078,17957.40039,17957.40039,283500
06-04-2022,17842.75,17901,17779.84961,17807.65039,17807.65039,328800
07-04-2022,17723.30078,17787.5,17623.69922,17639.55078,17639.55078,308800
08-04-2022,17698.15039,17842.75,17600.55078,17784.34961,17784.34961,274400
11-04-2022,17740.90039,17779.05078,17650.94922,17674.94922,17674.94922,251700
12-04-2022,17584.84961,17595.30078,17442.34961,17530.30078,17530.30078,266000
13-04-2022,17599.90039,17663.65039,17457.40039,17475.65039,17475.65039,245100
18-04-2022,17183.44922,17237.75,17067.84961,17173.65039,17173.65039,376100
19-04-2022,17258.94922,17275.65039,16824.69922,16958.65039,16958.65039,401400
20-04-2022,17045.25,17186.90039,16978.94922,17136.55078,17136.55078,286100
21-04-2022,17234.59961,17414.69922,17215.5,17392.59961,17392.59961,285200
22-04-2022,17242.75,17315.30078,17149.19922,17171.94922,17171.94922,262700
25-04-2022,17009.05078,17054.30078,16888.69922,16953.94922,16953.94922,275700
26-04-2022,17121.30078,17223.84961,17064.44922,17200.80078,17200.80078,261100
27-04-2022,17073.34961,17110.69922,16958.44922,17038.40039,17038.40039,265100
28-04-2022,17189.5,17322.5,17071.05078,17245.05078,17245.05078,312900
29-04-2022,17329.25,17377.65039,17053.25,17102.55078,17102.55078,336200
02-05-2022,16924.44922,17092.25,16917.25,17069.09961,17069.09961,278200
04-05-2022,17096.59961,17132.84961,16623.94922,16677.59961,16677.59961,310600
05-05-2022,16854.75,16945.69922,16651.84961,16682.65039,16682.65039,265800
06-05-2022,16415.55078,16484.19922,16340.90039,16411.25,16411.25,300500
09-05-2022,16227.7002,16403.69922,16142.09961,16301.84961,16301.84961,288400
10-05-2022,16248.90039,16404.55078,16197.29981,16240.04981,16240.04981,283100
11-05-2022,16270.04981,16318.75,15992.59961,16167.09961,16167.09961,284300
12-05-2022,16021.09961,16041.9502,15735.75,15808,15808,314900
13-05-2022,15977,16083.59961,15740.84961,15782.15039,15782.15039,369100
16-05-2022,15845.09961,15977.9502,15739.65039,15842.29981,15842.29981,217600
17-05-2022,15912.59961,16284.25,15900.79981,16259.29981,16259.29981,295700
18-05-2022,16318.15039,16399.80078,16211.2002,16240.29981,16240.29981,290400
19-05-2022,15917.40039,15984.75,15775.2002,15809.40039,15809.40039,313900
20-05-2022,16043.79981,16283.04981,16003.84961,16266.15039,16266.15039,252400
23-05-2022,16290.9502,16414.69922,16185.75,16214.7002,16214.7002,293800
24-05-2022,16225.54981,16262.79981,16078.59961,16125.15039,16125.15039,249800
25-05-2022,16196.34961,16223.34961,16006.9502,16025.79981,16025.79981,243300
26-05-2022,16105,16204.4502,15903.7002,16170.15039,16170.15039,314300
27-05-2022,16296.59961,16370.59961,16221.9502,16352.4502,16352.4502,274100
30-05-2022,16527.90039,16695.5,16506.15039,16661.40039,16661.40039,251400
31-05-2022,16578.44922,16690.75,16521.90039,16584.55078,16584.55078,651600
01-06-2022,16594.40039,16649.19922,16438.84961,16522.75,16522.75,249600
02-06-2022,16481.65039,16646.40039,16443.05078,16628,16628,236000
03-06-2022,16761.65039,16793.84961,16567.90039,16584.30078,16584.30078,245500
06-06-2022,16530.69922,16610.94922,16444.55078,16569.55078,16569.55078,233600
07-06-2022,16469.59961,16487.25,16347.09961,16416.34961,16416.34961,233800
08-06-2022,16474.94922,16514.30078,16293.34961,16356.25,16356.25,243500
09-06-2022,16263.84961,16492.80078,16243.84961,16478.09961,16478.09961,205000
10-06-2022,16283.9502,16324.7002,16172.59961,16201.79981,16201.79981,189700
13-06-2022,15877.54981,15886.15039,15684,15774.40039,15774.40039,225500
14-06-2022,15674.25,15858,15659.4502,15732.09961,15732.09961,225400
15-06-2022,15729.25,15783.65039,15678.90039,15692.15039,15692.15039,183000
16-06-2022,15832.25,15863.15039,15335.09961,15360.59961,15360.59961,264700
17-06-2022,15272.65039,15400.40039,15183.40039,15293.5,15293.5,342600
20-06-2022,15334.5,15382.5,15191.09961,15350.15039,15350.15039,260000
21-06-2022,15455.9502,15707.25,15419.84961,15638.79981,15638.79981,262800
22-06-2022,15545.65039,15565.40039,15385.9502,15413.29981,15413.29981,220900
23-06-2022,15451.54981,15628.4502,15367.5,15556.65039,15556.65039,259200
24-06-2022,15657.40039,15749.25,15619.4502,15699.25,15699.25,219600
27-06-2022,15926.2002,15927.4502,15815.5,15832.04981,15832.04981,210900
28-06-2022,15757.4502,15892.09961,15710.15039,15850.2002,15850.2002,251900
29-06-2022,15701.7002,15861.59961,15687.79981,15799.09961,15799.09961,444900
30-06-2022,15774.5,15890,15728.84961,15780.25,15780.25,306000
01-07-2022,15703.7002,15793.9502,15511.04981,15752.04981,15752.04981,364100
04-07-2022,15710.5,15852.34961,15661.79981,15835.34961,15835.34961,304300
05-07-2022,15909.15039,16025.75,15785.4502,15810.84961,15810.84961,254200
06-07-2022,15818.2002,16011.34961,15800.90039,15989.79981,15989.79981,288400
07-07-2022,16113.75,16150.5,16045.9502,16132.90039,16132.90039,264600
08-07-2022,16273.65039,16275.5,16157.90039,16220.59961,16220.59961,281100
11-07-2022,16136.15039,16248.54981,16115.5,16216,16216,255900
12-07-2022,16126.2002,16158.75,16031.15039,16058.29981,16058.29981,208600
13-07-2022,16128.2002,16140,15950.15039,15966.65039,15966.65039,233300
14-07-2022,16018.84961,16070.84961,15858.2002,15938.65039,15938.65039,228600
15-07-2022,16010.79981,16066.9502,15927.29981,16049.2002,16049.2002,205800
18-07-2022,16151.40039,16287.9502,16142.2002,16278.5,16278.5,227700
19-07-2022,16187.04981,16359.5,16187.04981,16340.54981,16340.54981,222600
20-07-2022,16562.80078,16588,16490.94922,16520.84961,16520.84961,284400
21-07-2022,16523.55078,16626.94922,16483.90039,16605.25,16605.25,243600
22-07-2022,16661.25,16752.25,16610.90039,16719.44922,16719.44922,190900
25-07-2022,16662.55078,16706.05078,16564.25,16631,16631,211400
26-07-2022,16632.90039,16636.09961,16463.30078,16483.84961,16483.84961,208200
27-07-2022,16475.34961,16653.44922,16438.75,16641.80078,16641.80078,185200
28-07-2022,16774.84961,16947.65039,16746.25,16929.59961,16929.59961,376300
29-07-2022,17079.5,17172.80078,17018.15039,17158.25,17158.25,436100
01-08-2022,17243.19922,17356.25,17154.80078,17340.05078,17340.05078,381500
02-08-2022,17310.15039,17390.15039,17215.84961,17345.44922,17345.44922,333600
03-08-2022,17349.25,17407.5,17225.84961,17388.15039,17388.15039,285400
04-08-2022,17463.09961,17490.69922,17161.25,17382,17382,325000
05-08-2022,17423.65039,17474.40039,17348.75,17397.5,17397.5,355300
08-08-2022,17401.5,17548.80078,17359.75,17525.09961,17525.09961,257000
10-08-2022,17566.09961,17566.09961,17442.80078,17534.75,17534.75,312700
11-08-2022,17711.65039,17719.30078,17631.94922,17659,17659,311200
12-08-2022,17659.65039,17724.65039,17597.84961,17698.15039,17698.15039,303900
16-08-2022,17797.19922,17839.09961,17764.05078,17825.25,17825.25,0
17-08-2022,17868.15039,17965.94922,17833.34961,17944.25,17944.25,262800
18-08-2022,17898.65039,17968.44922,17852.05078,17956.5,17956.5,263900
19-08-2022,17966.55078,17992.19922,17710.75,17758.44922,17758.44922,295600
22-08-2022,17682.90039,17690.05078,17467.34961,17490.69922,17490.69922,287600
23-08-2022,17357.34961,17625.55078,17345.19922,17577.5,17577.5,285600
24-08-2022,17525.44922,17623.65039,17499.25,17604.94922,17604.94922,262000
25-08-2022,17679,17726.5,17487.44922,17522.44922,17522.44922,230200
26-08-2022,17619.30078,17685.84961,17519.34961,17558.90039,17558.90039,266600
29-08-2022,17188.65039,17380.15039,17166.19922,17312.90039,17312.90039,244900
30-08-2022,17414.94922,17777.65039,17401.5,17759.30078,17759.30078,324700
01-09-2022,17485.69922,17695.59961,17468.44922,17542.80078,17542.80078,308500
02-09-2022,17598.40039,17643.84961,17476.44922,17539.44922,17539.44922,256300
05-09-2022,17546.44922,17683.15039,17540.34961,17665.80078,17665.80078,230300
06-09-2022,17695.69922,17764.65039,17587.65039,17655.59961,17655.59961,251200
07-09-2022,17519.40039,17650.75,17484.30078,17624.40039,17624.40039,354100
08-09-2022,17748.15039,17807.65039,17691.94922,17798.75,17798.75,279800
09-09-2022,17923.34961,17925.94922,17786,17833.34961,17833.34961,270300
